scalable,model,title,url,cite_name,year,journal,generative modeling,Graph type,Attribute,Application,,Graph type,Attribute,Applications
✅,BiGG,Scalable Deep Generative Modeling for Sparse Graphs,http://proceedings.mlr.press/v119/dai20b.html,BiGG,2020,ICML,AR,,,General Graph Modeling,,,,
✅,GraphGen,GraphGen: A Scalable Approach to Domain-agnostic Labeled Graph Generation,https://doi.org/10.1145/3366423.3380201,GraphGen,2020,WWW,AR,,,General Graph Modeling,,,,
,EDP-GNN,Permutation Invariant Graph Generation via Score-Based Generative Modeling,http://proceedings.mlr.press/v108/niu20a.html,EDP-GNN,2020,AISTATS,diffusion,,,General Graph Modeling,,,,
,MoFlow,MoFlow: An Invertible Flow Model for Generating Molecular Graphs,https://doi.org/10.1145/3394486.3403104,MoFlow,2020,KDD,flow,,,Molecule Generation,,,,
,AGE,Attention-Based Graph Evolution,https://doi.org/10.1007/978-3-030-47426-3_34,AGE,2020,PAKDD,VAE,,,General Graph Modeling,,,,
,ALMGIG,Adversarial Learned Molecular Graph Inference and Generation,https://doi.org/10.1007/978-3-030-67661-2_11,ALMGIG,2020, ECML PKDD,GAN,,,Molecule Generation,,,,
✅,TG-GAN,TG-GAN: Continuous-time Temporal Graph Generation with Deep Generative Models,https://arxiv.org/abs/2005.08323,TG-GAN,2020,WWW,GAN,,,Dynamic Graph Modeling,,,,
✅,TagGen,A Data-Driven Graph Generative Model for Temporal Interaction Networks,https://doi.org/10.1145/3394486.3403082,TagGen,2020,KDD,GAN,,,Dynamic Graph Modeling,,,,
,GPT-GNN ,GPT-GNN: Generative Pre-Training of Graph Neural Networks,https://doi.org/10.1145/3394486.3403237,GPT-GNN,2020,KDD,VAE,,,General Graph Modeling,,,,
,MoGlow,MoGlow: probabilistic and controllable motion synthesis using normalising flows,https://doi.org/10.1145/3414685.3417836,MoGlow,2020,TOG,diffusion,,,Human Motion Prediction,,,,
,MGRNN,MGRNN: Structure generation of molecules based on graph recurrent neural networks,https://onlinelibrary.wiley.com/doi/abs/10.1002/minf.202100091,MGRNN,2021,molecular informatics,AR,,,Molecule Generation,,,,
,MG2N2,Molecular generative Graph Neural Networks for Drug Discovery,https://doi.org/10.1016/j.neucom.2021.04.039,MG2N2,2021,Neurocomputing,AR,,,Molecule Generation,,,,
,MGM,Masked graph modeling for molecule generation,https://www.nature.com/articles/s41467-021-23415-2,MGM,2021,NC,AR,,,Molecule Generation,,,,
✅,GraphGen-Redux,Graphgen-redux: a Fast and Lightweight Recurrent Model for labeled Graph Generation,https://doi.org/10.1109/IJCNN52387.2021.9533743,GraphGen-Redux,2021,IJCNN,AR,,,General Graph Modeling,,,,
✅,D2G2,Disentangled Dynamic Graph Deep Generation,https://doi.org/10.1137/1.9781611976700.83,D2G2,2021,SIAM,AR,,,General Graph Modeling,,,,
,GraphEBM,GraphEBM: Molecular Graph Generation with Energy-Based Models,https://arxiv.org/abs/2102.00546,GraphEBM,2021,ICLR,diffusion,,,Molecule Generation,,,,
,ENF,E(n) Equivariant Normalizing Flows,https://proceedings.neurips.cc/paper/2021/hash/21b5680d80f75a616096f2e791affac6-Abstract.html,ENF,2021,NIPS,flow,,,Molecule Generation,,,,
,FastFlows,FastFlows: Flow-Based Models for Molecular Graph Generation,https://arxiv.org/abs/2201.12419,FastFlows,2022,ELLIS workshop,flow,,,Molecule Generation,,,,
,GraphCNF,Categorical Normalizing Flows via Continuous Transformations,https://openreview.net/forum?id=-GLNZeVDuik,GraphCNF,2021,ICLR,flow,,,Molecule Generation,,,,
,MolGrow,MolGrow: A Graph Normalizing Flow for Hierarchical Molecular Generation,https://doi.org/10.1609/aaai.v35i9.17001,MolGrow,2021,AAAI,flow,,,Molecule Generation,,,,
,GraphDF,GraphDF: A Discrete Flow Model for Molecular Graph Generation,https://arxiv.org/abs/2102.01189,GraphDF,2021,ICML,flow,,,Molecule Generation,,,,
,CGCF,Learning Neural Generative Dynamics for Molecular Conformation Generation,https://openreview.net/forum?id=pAbm1qfheGk,CGCF,2021,ICLR,flow,,,Molecule Generation,,,,
✅,FastSGG,FastSGG: Efficient Social Graph Generation Using a Degree Distribution Generation Model,https://doi.org/10.1109/ICDE51399.2021.00055,FastSGG,2021,ICDE,statistical-based simulation,,,Social Network Analysis,,,,
✅,TIGGER,TIGGER: Scalable Generative Modelling for Temporal Interaction Graphs,http://dx.doi.org/10.1609/aaai.v36i6.20638,TIGGER,2022,AAAI,AR,,,Dynamic Graph Modeling,,,,
,EDM,Equivariant Diffusion for Molecule Generation in 3D,https://proceedings.mlr.press/v162/hoogeboom22a.html,EDM,2022,ICML,diffusion,,,Molecule Generation,,,,
✅,GDSS,Score-based Generative Modeling of Graphs via the System of Stochastic Differential Equations,https://proceedings.mlr.press/v162/jo22a.html,GDSS,2022,ICML,diffusion,,,General Graph Modeling,,,,
,G-SphereNet,An Autoregressive Flow Model for 3D Molecular Geometry Generation from Scratch,https://openreview.net/forum?id=C03Ajc-NS5W,G-SphereNet,2022,ICLR,flow,,,Molecule Generation,,,,
,DeMo,DEMO:,https://doi.org/10.1145/3511808.3557217,DeMo,2022,CIKM,flow,,,Molecule Generation,,,,
✅,STGEN,STGEN: Deep Continuous-Time Spatiotemporal Graph Generation,https://doi.org/10.1007/978-3-031-26409-2_21,STGEN,2022,ecml PKDD,GAN,,,Transportation Network Modeling,,,,
,GraphMAE,GraphMAE: Self-Supervised Masked Graph Autoencoders,https://doi.org/10.1145/3534678.3539321,GraphMAE,2022,KDD,VAE,,,General Graph Modeling,,,,
,GraphGPT(1),Graphgpt: A graph enhanced generative pretrained transformer for conditioned molecular generation,https://www.mdpi.com/1422-0067/24/23/16761,GraphGPT-1,2023,IJMS,AR,,,Molecule Generation,,,,
✅,BwR,Improving Graph Generation by Restricting Graph Bandwidth,https://proceedings.mlr.press/v202/diamant23a.html,BwR,2023,ICML,depend on backbone(AR/VAE/Difussion),,,General Graph Modeling,,,,
,GeoLDM,Geometric latent diffusion models for 3d molecule generation,https://proceedings.mlr.press/v202/xu23n.html,GeoLDM,2023,ICML,diffusion,,,Molecule Generation,,,,
,EEGSDE,Equivariant Energy-Guided SDE,https://openreview.net/forum?id=r0otLtOwYW,EEGSDE,2023,ICLR,diffusion,,,Molecule Generation,,,,
,CDGS,Conditional Diffusion Based on Discrete Graph Structures for Molecular Graph Generation,https://doi.org/10.1609/aaai.v37i4.25549,CDGS,2023,AAAI,diffusion,,,Molecule Generation,,,,
✅,EDGE,Efficient and Degree-Guided Graph Generation via Discrete Diffusion Modeling,https://proceedings.mlr.press/v202/chen23k.html,EDGE,2023,ICML,diffusion,,,General Graph Modeling,,,,
✅,MOLDR,Molecular Graph Generation by Decomposition and Reassembling,https://doi.org/10.48550/arXiv.2302.00587,MOLDR,2023,arxiv,GAN,,,Molecule Generation,,,,
✅,DiffODGen,Complexity-aware Large Scale Origin-Destination Network Generation via Diffusion Model,https://doi.org/10.48550/arXiv.2306.04873,DiffODGen,2023,arxiv,diffusion,,,Transportation Network Modeling,,,,
✅,GenCAT,"GenCAT: Generating attributed graphs with controlled relationships between classes, attributes, and topology",https://doi.org/10.1016/j.is.2023.102195,GenCAT,2023,Information Systems,statistical-based simulation,,,Social Network Analysis,,,,
✅,DYMOND,DYMOND: DYnamic MOtif-NoDes Network Generative Model,https://doi.org/10.1145/3442381.3450102,DYMOND,2021,WWW,statistical-based simulation,,,Social Network Analysis,,,,
, MiCaM ,De Novo Molecular Generation via Connection-aware Motif Mining,https://doi.org/10.48550/arXiv.2302.01129,MiCaM,2023,ICLR,VAE,,,Molecule Generation,,,,
,MoVAE,MoVAE: A Variational AutoEncoder for Molecular Graph Generation,https://doi.org/10.1137/1.9781611977653.ch58,MoVAE,2023,SIAM,VAE,,,Molecule Generation,,,,
,EquiFM,Equivariant Flow Matching with Hybrid Probability Transport for 3D Molecule Generation,http://papers.nips.cc/paper_files/paper/2023/hash/01d64478381c33e29ed611f1719f5a37-Abstract-Conference.html,EquiFM,2023,NIPS,flow,,,Molecule Generation,,,,
,DeepRank-GNN,DeepRank-GNN: a graph neural network framework to learn patterns in protein-protein interfaces,https://doi.org/10.1093/bioinformatics/btac759,DeepRank-GNN,2023,Bioinform.,diffusion,,,Molecule Generation,,,,
✅,RecAgent,User Behavior Simulation with Large Language Model-based Agents,https://doi.org/10.1145/3708985,RecAgent,2025,TOIS,llm-based simulation,,,Recommender Systems,,,,
✅,TransFlower,TransFlower: An Explainable Transformer-Based Model with Flow-to-Flow Attention for Commuting Flow Prediction,https://doi.org/10.48550/arXiv.2402.15398,TransFlower,2024,arxiv,AR,,,Transportation Network Modeling,,,,
, LLM4GraphGen,Exploring the Potential of Large Language Models in Graph Generation,https://doi.org/10.48550/arXiv.2403.14358,LLM4GraphGen,2024,arXiv,AR,,,General Graph Modeling,,,,
,Lingo3DMol,Generation of 3D molecules in pockets via a language model,https://www.nature.com/articles/s42256-023-00775-6,Lingo3DMol,2024,NMI,AR,,,Molecule Generation,,,,
,OLR,Overcoming Order in Autoregressive Graph Generation for Molecule Generation,https://openreview.net/forum?id=BK6Gc10tRy,OLR,2024,TMLR,AR,,,Molecule Generation,,,,
,GeoMol,Leveraging 2D molecular graph pretraining for improved 3D conformer generation with graph neural networks,https://doi.org/10.1016/j.compchemeng.2024.108622,GeoMol,2024,Computers and Chemical Engineering,AR,,,Molecule Generation,,,,
✅,GEEL,A Simple and Scalable Representation for Graph Generation,https://openreview.net/forum?id=nO344avRib,GEEL,2024,ICLR,AR,,,General Graph Modeling,,,,
,GraphGPT(2),GraphGPT: Graph Learning with Generative Pre-trained Transformers,https://doi.org/10.48550/arXiv.2401.00529,GraphGPT-2,2024,arxiv,AR,,,General Graph Modeling,,,,
,TACS,Conditional Synthesis of 3D Molecules with Time Correction Sampler,http://papers.nips.cc/paper_files/paper/2024/hash/8ab385402ef6611c22e92f38570b9576-Abstract-Conference.html,TACS,2024,NIPS,diffusion,,,Molecule Generation,,,,
✅,FairWire,FairWire: Fair Graph Generation,http://papers.nips.cc/paper_files/paper/2024/hash/e105d1cabb6ee2495595e2baf25493b5-Abstract-Conference.html,FairWire,2024,NIPS,diffusion,,,General Graph Modeling,,,,
✅,GraphMaker,GraphMaker: Can Diffusion Models Generate Large Attributed Graphs?,https://openreview.net/forum?id=0q4zjGMKoA,GraphMaker,2024,TMLR,diffusion,,,General Graph Modeling,,,,
,MotionDiffuse,MotionDiffuse: Text-Driven Human Motion Generation With Diffusion Model,https://doi.org/10.1109/TPAMI.2024.3355414,MotionDiffuse,2024,Tpami,diffusion,,,Human Motion Prediction,,,,
,CatFlow,Variational Flow Matching for Graph Generation,http://papers.nips.cc/paper_files/paper/2024/hash/15b780350b302a1bf9a3bd273f5c15a4-Abstract-Conference.html,CatFlow,2024,NIPS,flow,,,Molecule Generation,,,,
,ChemFlow,Navigating Chemical Space with Latent Flows,http://papers.nips.cc/paper_files/paper/2024/hash/6bbefb73c0ede70635823a18426b9208-Abstract-Conference.html,ChemFlow,2024,NIPS,flow,,,Molecule Generation,,,,
,ETFlow,ET-Flow: Equivariant Flow-Matching for Molecular Conformer Generation,http://papers.nips.cc/paper_files/paper/2024/hash/e8bd617e7dd0394ceadf37b4a7773179-Abstract-Conference.html,ETFlow,2024,NIPS,flow,,,Molecule Generation,,,,
,FlowMol,Mixed Continuous and Categorical Flow Matching for 3D De Novo Molecule Generation,https://doi.org/10.48550/arXiv.2404.19739,FlowMol,2024,arXiv,flow,,,Molecule Generation,,,,
,GeoBFN,Unified Generative Modeling of 3D Molecules via Bayesian Flow Networks,https://doi.org/10.48550/arXiv.2403.15441,GeoBFN,2024,ICLR,flow,,,Molecule Generation,,,,
,GGFlow,Improving Molecular Graph Generation with Flow Matching and Optimal Transport,https://doi.org/10.48550/arXiv.2411.05676,GGFlow,2024,NIPS,flow,,,Molecule Generation,,,,
,DGGEN,A Deep Probabilistic Framework for Continuous Time Dynamic Graph Generation,https://doi.org/10.1609/aaai.v39i16.33896,DGGEN,2025,AAAI,VAE,,,Dynamic Graph Modeling,,,,
,MotionDiffuse,MotionDiffuse: Text-Driven Human Motion Generation With Diffusion Model,https://doi.org/10.1109/TPAMI.2024.3355414,MotionDiffuse,2024,TPAMI,diffusion,,,Human Motion Prediction,,,,
,FragGen,FragGen: towards 3D geometry reliable fragment-based molecular generation,https://pubs.rsc.org/en/content/articlehtml/2024/sc/d4sc04620j,FragGen,2024,chemical science,GAN,,,Molecule Generation,,,,
,SUBER,SUBER: An RL Environment with Simulated Human Behavior for Recommender Systems,https://arxiv.org/abs/2406.01631,SUBER,2024,ECAI,llm-based simulation,,,Recommender Systems,,,,
✅,AgentCF,AgentCF: Collaborative Learning with Autonomous Language Agents for Recommender Systems,https://doi.org/10.1145/3589334.3645537,AgentCF,2024,WWW,llm-based simulation,,,Recommender Systems,,,,
✅,BASES,BASES: Large-scale Web Search User Simulation with Large Language Model based Agents,https://doi.org/10.18653/v1/2024.findings-emnlp.50,BASES,2024,EMNLP,llm-based simulation,,,Recommender Systems,,,,
✅,SRAP-Agent,SRAP-Agent: Simulating and Optimizing Scarce Resource Allocation Policy with LLM-based Agent,https://doi.org/10.18653/v1/2024.findings-emnlp.15,SRAP-Agent,2024,EMNLP,llm-based simulation,,,Social Network Analysis,,,,
✅,FUSE,The Stepwise Deception: Simulating the Evolution from True News to Fake News with LLM Agents,https://aclanthology.org/2025.emnlp-main.1330/,FUSE,2024,Arxiv,llm-based simulation,,,Social Network Analysis,,,,
✅,TIS,A Large-scale Time-aware Agents Simulation for Influencer Selection in Digital Advertising Campaigns,https://doi.org/10.48550/arXiv.2411.01143,TIS,2024,Arxiv,llm-based simulation,,,Social Network Analysis,,,,
✅,S3,S3: Social-network Simulation System with Large Language Model-Empowered Agents,https://doi.org/10.48550/arXiv.2307.14984,S3,2023,Arxiv,llm-based simulation,,,Social Network Analysis,,,,
✅,OASIS,OASIS: Open Agent Social Interaction Simulations with One Million Agents,https://arxiv.org/abs/2411.11581,OASIS,2024,Arxiv,llm-based simulation,,,Social Network Analysis,,,,
✅,Social Simulacra,Social Simulacra: Creating Populated Prototypes for Social Computing Systems,https://doi.org/10.1145/3526113.3545616,Social_simulacra,2022,UIST,llm-based simulation,,,Social Network Analysis,,,,
✅,GAG,LLM-Based Multi-Agent Systems are Scalable Graph Generative Models,https://arxiv.org/abs/2410.09824,GAG,2025,ACL,llm-based simulation,,,Social Network Analysis,,,,
✅,Y Social,Y Social: an LLM-powered Social Media Digital Twin,https://doi.org/10.48550/arXiv.2408.00818,Y_social,2024,Arxiv,llm-based simulation,,,Social Network Analysis,,,,
✅,VRDAG,Efficient Dynamic Attributed Graph Generation,https://arxiv.org/abs/2412.08810,VRDAG,2024,ICDE,VAE,,,Dynamic Graph Modeling,,,,
,RecUserSim,RecUserSim: A Realistic and Diverse User Simulator for Evaluating Conversational Recommender Systems,https://dl.acm.org/doi/abs/10.1145/3701716.3715258,RecUserSim,2025,WWW,llm-based simulation,,,Recommender Systems,,,,
,BindGPT,BindGPT: A Scalable Framework for 3D Molecular Design via Language Modeling and Reinforcement Learning A,https://doi.org/10.1609/aaai.v39i24.34804,BindGPT,2025,AAAI,AR,,,Molecule Generation,,,,
,Uni-3DAR,Uni-3DAR: Unified 3D Generation and Understanding via Autoregression on Compressed Spatial Tokens,https://doi.org/10.48550/arXiv.2503.16278,Uni-3Dar,2025,arXiv,AR,,,Molecule Generation,,,,
,Next-Mol,NExT-Mol: 3D Diffusion Meets 1D Language Modeling for 3D Molecule Generation,https://openreview.net/forum?id=p66a00KLWN,Next-Mol,2025,ICLR,diffusion,,,Molecule Generation,,,,
✅,LGGM,A Large-scale Training Paradigm for Graph Generative Models,https://openreview.net/forum?id=c01YB8pF0s,LGGM,2025,ICLR,diffusion,,,General Graph Modeling,,,,
✅,Digress,Digress: Discrete Denoising diffusion for graph generation,https://openreview.net/forum?id=UaAD-Nu86WX,Digress,2023,ICLR,diffusion,,,General Graph Modeling,,,,
,GOAT,Accelerating 3D Molecule Generation via Jointly Geometric Optimal Transport,https://openreview.net/forum?id=VGURexnlUL,GOAT,2025,ICLR,flow,,,Molecule Generation,,,,
,A-GFN,Pretraining Generative Flow Networks with Inexpensive Rewards for Molecular Graph Generation,https://doi.org/10.48550/arXiv.2503.06337,A-GFN,2025,arXiv,flow,,,Molecule Generation,,,,
,SemlaFlow,Semlaflow--efficient 3d molecular generation with latent attention and equivariant flow matching,https://arxiv.org/abs/2406.07266,Semlaflow,2025, AISTATS,flow,,,Molecule Generation,,,,
,Mol-AIR,Mol-AIR: Molecular Reinforcement Learning with Adaptive Intrinsic Rewards for Goal-Directed Molecular Generation,https://doi.org/10.1021/acs.jcim.4c01669,Mol-AIR,2025,JCIM,GAN,,,Molecule Generation,,,,
,THePUff,"Temporal Heterogeneous Graph Generation with Privacy, Utility, and Efficiency",https://openreview.net/forum?id=tj5xJInWty,THePUff,2025,ICLR,diffusion,,,General Graph Modeling,,,,
